This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:    32413
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    83400

Total number of variables............................:     5409
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     1202
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.2012644e+02 1.00e+04 4.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.2064554e+02 1.00e+04 6.15e+00  -1.0 1.00e+04    -  9.90e-07 6.15e-06f  1
   2  7.7278026e+02 1.00e+04 7.35e+00  -1.0 1.05e+04    -  2.43e-06 2.50e-05h  3
   3  1.8155707e+03 1.00e+04 1.47e+01  -1.0 1.00e+04    -  1.14e-05 4.98e-05h  1
   4  2.5496111e+03 1.00e+04 1.47e+01  -1.0 1.00e+04    -  4.03e-05 3.51e-05h  1
   5  3.7531525e+03 1.00e+04 1.48e+01  -1.0 1.15e+04    -  8.22e-06 5.77e-05h  1
   6r 3.7531525e+03 1.00e+04 9.99e+02   4.0 0.00e+00    -  0.00e+00 3.22e-07R  3
   7r 4.0439097e+03 1.00e+04 4.26e+03   4.0 2.40e+04    -  1.23e-03 1.81e-05f  1
   8r 6.6694443e+03 9.99e+03 3.76e+03   1.9 2.71e+01    -  9.99e-02 3.38e-01f  1
   9r 9.5484339e+03 9.97e+03 1.87e+03   1.9 8.46e+01    -  1.94e-02 1.99e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 9.9790623e+03 9.97e+03 1.83e+03   1.9 6.42e+01    -  3.57e-02 3.44e-02f  1
  11r 1.2404278e+04 9.96e+03 1.39e+03   1.9 4.42e+01    -  1.56e-01 1.96e-01f  1
  12r 1.5435744e+04 9.96e+03 1.22e+03   1.9 2.78e+01    -  1.46e-01 2.66e-01f  1
  13r 1.9146278e+04 9.95e+03 1.61e+03   1.9 1.51e+01    -  1.72e-01 3.82e-01f  1
  14r 2.3593715e+04 9.95e+03 3.83e+03   1.9 8.26e+00    -  2.72e-01 6.14e-01f  1
  15r 1.9981865e+04 9.96e+03 2.42e+03   1.2 1.07e+01    -  3.48e-01 6.04e-01f  1
  16r 1.9927091e+04 9.96e+03 1.20e+03   1.2 5.30e+00    -  4.34e-01 6.34e-01f  1
  17r 1.9347269e+04 9.96e+03 4.29e+02   1.2 8.10e+00    -  6.15e-01 8.01e-01f  1
  18r 1.4772993e+04 9.97e+03 2.13e+02   0.5 1.19e+01    -  5.71e-01 7.30e-01f  1
  19r 1.4401043e+04 9.97e+03 2.37e+02   0.5 2.91e+00    -  3.44e-01 6.55e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 1.3937735e+04 9.98e+03 2.40e+02   0.5 4.34e+00    -  5.65e-01 1.00e+00f  1
  21r 1.3631247e+04 9.98e+03 1.46e+01   0.5 3.86e+00    -  1.00e+00 1.00e+00f  1
  22r 1.0724114e+04 9.99e+03 6.00e+01  -0.9 7.93e+00    -  5.83e-01 7.66e-01f  1
  23r 1.2202856e+04 9.99e+03 1.54e+02  -0.9 1.44e+00   0.0 3.64e-01 5.61e-01f  1
  24r 1.6774566e+04 9.99e+03 2.18e+02  -0.9 6.62e+00    -  2.28e-01 4.97e-01f  1
  25r 2.1568540e+04 9.98e+03 2.28e+02  -0.9 5.05e+00    -  4.20e-01 7.52e-01f  1
  26r 2.2479860e+04 9.98e+03 1.55e+02  -0.9 3.33e+00    -  2.87e-01 3.55e-01f  1
  27r 2.3403360e+04 9.98e+03 7.97e+01  -0.9 2.61e+00    -  4.45e-01 5.16e-01f  1
  28r 2.4465407e+04 9.98e+03 3.48e+00  -0.9 1.65e+00    -  1.00e+00 8.97e-01f  1
  29r 2.4491749e+04 9.99e+03 3.60e+00  -1.6 1.63e+00    -  7.82e-01 6.37e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 3.3136924e+04 9.98e+03 1.63e+01  -1.6 1.60e+01    -  2.98e-01 3.56e-01f  1
  31r 4.0727245e+04 9.98e+03 8.77e+00  -1.6 1.12e+01    -  6.52e-01 4.37e-01f  1
  32r 5.0334782e+04 9.97e+03 3.11e+00  -1.6 6.03e+00    -  1.00e+00 1.00e+00f  1
  33r 5.0329549e+04 9.97e+03 3.48e-03  -1.6 5.90e-02    -  1.00e+00 1.00e+00f  1
  34r 5.0272041e+04 9.97e+03 2.90e+00  -3.6 6.20e-01    -  8.77e-01 9.82e-01f  1
  35r 5.2991836e+04 9.97e+03 3.68e+01  -3.6 6.99e+00  -0.5 1.65e-01 2.93e-01f  1
  36r 6.3596365e+04 9.97e+03 1.02e+02  -3.6 1.93e+01  -1.0 3.09e-02 4.32e-01f  1
  37r 6.7463877e+04 9.97e+03 1.45e+02  -3.6 9.32e+01  -1.4 1.82e-02 8.06e-02f  1
  38r 7.3223057e+04 9.97e+03 1.81e+02  -3.6 2.02e+01  -1.0 3.25e-03 1.90e-01f  1
  39r 8.1567854e+04 9.96e+03 1.66e+02  -3.6 5.00e+01  -1.5 1.04e-01 1.12e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 8.1870853e+04 9.96e+03 1.35e+02  -3.6 3.04e+00  -0.2 1.52e-01 6.01e-02f  1
  41r 9.1903343e+04 9.96e+03 2.69e+02  -3.6 8.71e+00  -0.6 2.11e-03 7.34e-01f  1
  42r 9.6155650e+04 9.96e+03 2.67e+02  -3.6 2.32e+01  -1.1 2.47e-02 1.19e-01f  1
  43r 9.6243176e+04 9.96e+03 2.16e+02  -3.6 1.83e-01   1.1 2.15e-02 2.23e-01f  1
  44r 9.6606267e+04 9.96e+03 1.17e+02  -3.6 4.87e-01   0.6 5.18e-01 4.32e-01f  1
  45r 9.7999344e+04 9.96e+03 7.60e+01  -3.6 1.40e+00   0.2 1.71e-01 6.19e-01f  1
  46r 9.8847755e+04 9.96e+03 2.42e+01  -3.6 5.24e-01   0.6 6.74e-01 1.00e+00f  1
  47r 1.0070311e+05 9.96e+03 2.59e+01  -3.6 1.54e+00   0.1 2.99e-01 7.56e-01f  1
  48r 1.0798591e+05 9.95e+03 2.67e+01  -3.6 4.56e+00  -0.4 1.10e-01 1.00e+00f  1
  49r 1.1378482e+05 9.95e+03 2.38e+01  -3.6 1.29e+01  -0.8 9.17e-02 2.75e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 1.1829860e+05 9.95e+03 1.47e+01  -3.6 4.96e+00  -0.4 2.17e-01 5.62e-01f  1
  51r 1.2581391e+05 9.95e+03 1.23e+01  -3.6 1.40e+01  -0.9 9.38e-02 3.27e-01f  1
  52r 1.2673100e+05 9.95e+03 9.86e+00  -3.6 5.38e+00  -0.5 3.04e-01 1.05e-01f  1
  53r 1.3007414e+05 9.95e+03 3.67e+00  -3.6 2.05e+00  -0.0 5.83e-01 1.00e+00f  1
  54r 1.3410352e+05 9.94e+03 1.87e+00  -3.6 5.95e+00  -0.5 5.15e-01 4.15e-01f  1
  55r 1.4267430e+05 9.94e+03 1.82e+00  -3.6 1.66e+01  -1.0 3.51e-01 3.15e-01f  1
  56r 1.4653296e+05 9.94e+03 4.58e+00  -3.6 4.14e+01  -1.5 1.52e-01 5.77e-02f  1
  57r 1.5106060e+05 9.94e+03 1.58e+01  -3.6 1.78e+01  -1.0 8.61e-01 1.56e-01f  1
  58r 1.5388518e+05 9.94e+03 2.22e+01  -3.6 4.38e+01  -1.5 3.41e-01 4.06e-02f  1
  59r 1.6074943e+05 9.93e+03 1.85e+01  -3.6 1.92e+01  -1.1 2.65e-01 2.20e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 1.6265395e+05 9.93e+03 2.27e+01  -3.6 4.61e+01  -1.6 2.53e-01 2.65e-02f  1
  61r 1.6887750e+05 9.93e+03 1.84e+01  -3.6 2.06e+01  -1.1 1.86e-01 1.87e-01f  1
  62r 1.7046269e+05 9.93e+03 2.30e+01  -3.6 4.95e+01  -1.6 1.70e-01 2.13e-02f  1
  63r 1.7267111e+05 9.93e+03 2.15e+01  -3.6 2.21e+01  -1.2 8.45e-02 6.21e-02f  1
  64r 1.7440977e+05 9.93e+03 2.11e+01  -3.6 5.46e+01  -1.7 2.24e-02 2.23e-02f  1
  65r 1.7546999e+05 9.93e+03 2.09e+01  -3.6 2.40e+01  -1.2 1.35e-01 2.75e-02f  1
  66r 1.7621409e+05 9.93e+03 2.08e+01  -3.6 6.11e+01  -1.7 1.12e-02 9.09e-03f  1
  67r 1.7727557e+05 9.93e+03 2.88e+01  -3.6 2.63e+01  -1.3 7.51e-01 2.52e-02f  1
  68r 1.7735899e+05 9.93e+03 2.74e+01  -3.6 6.89e+01  -1.8 3.84e-02 9.76e-04f  1
  69r 1.8540771e+05 9.92e+03 2.18e+01  -3.6 2.89e+01  -1.3 1.95e-02 1.75e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 1.8559867e+05 9.92e+03 2.19e+01  -3.6 7.65e+01  -1.8 4.73e-03 2.21e-03f  1
  71r 1.8744860e+05 9.92e+03 3.20e+01  -3.6 3.07e+01  -1.4 8.22e-01 3.81e-02f  1
  72r 1.8850660e+05 9.92e+03 3.18e+01  -3.6 8.64e+01  -1.9 1.51e-02 1.19e-02f  1
  73r 1.9047693e+05 9.92e+03 3.09e+01  -3.6 3.32e+01  -1.4 6.77e-02 3.77e-02f  1
  74r 1.9085301e+05 9.92e+03 3.09e+01  -3.6 1.00e+02  -1.9 5.71e-03 4.23e-03f  1
  75r 1.9252780e+05 9.92e+03 3.21e+01  -3.6 3.61e+01  -1.5 1.67e-01 2.97e-02f  1
  76r 1.9292806e+05 9.92e+03 3.20e+01  -3.6 1.17e+02  -2.0 6.08e-03 4.59e-03f  1
  77r 1.9427467e+05 9.92e+03 3.15e+01  -3.6 3.96e+01  -1.6 2.97e-02 2.22e-02f  1
  78r 1.9431617e+05 9.92e+03 3.16e+01  -3.6 1.46e+02  -2.0 2.19e-03 5.30e-04f  1
  79r 1.9598108e+05 9.92e+03 3.27e+01  -3.6 4.37e+01  -1.6 9.88e-02 2.56e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r 1.9610692e+05 9.92e+03 3.25e+01  -3.6 1.87e+02  -2.1 8.47e-04 2.04e-03f  1
  81r 1.9685451e+05 9.92e+03 3.38e+01  -3.6 4.83e+01  -1.7 6.53e-02 1.08e-02f  1
  82r 1.9685756e+05 9.92e+03 3.38e+01  -3.6 2.91e+02  -2.1 3.95e-04 5.21e-04f  1
  83r 1.9795969e+05 9.92e+03 3.43e+01  -3.6 5.38e+01  -1.7 4.17e-02 1.49e-02f  1
  84r 1.9792996e+05 9.92e+03 3.42e+01  -3.6 6.98e+02  -2.2 1.18e-04 1.24e-04f  1
  85r 1.9879543e+05 9.92e+03 3.46e+01  -3.6 6.01e+01  -1.8 2.81e-02 1.10e-02f  1
  86r 2.0157646e+05 9.91e+03 3.22e+01  -3.6 2.53e+01  -1.3 4.51e-02 6.91e-02f  1
  87r 2.0168727e+05 9.91e+03 3.30e+01  -3.6 6.68e+01  -1.8 1.87e-02 1.36e-03f  1
  88r 2.0489595e+05 9.91e+03 3.02e+01  -3.6 2.75e+01  -1.4 9.48e-03 7.36e-02f  1
  89r 2.0504131e+05 9.91e+03 3.08e+01  -3.6 7.47e+01  -1.9 1.34e-02 1.72e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 2.0792334e+05 9.91e+03 2.83e+01  -3.6 2.99e+01  -1.4 1.93e-03 6.14e-02f  1
  91r 2.0823199e+05 9.91e+03 2.87e+01  -3.6 8.39e+01  -1.9 1.13e-02 3.57e-03f  1
  92r 2.0849586e+05 9.91e+03 3.45e+01  -3.6 3.27e+01  -1.5 3.56e-01 5.23e-03f  1
  93r 2.0916154e+05 9.91e+03 3.46e+01  -3.6 9.46e+01  -2.0 1.37e-02 7.44e-03f  1
  94r 2.1101281e+05 9.91e+03 3.41e+01  -3.6 3.61e+01  -1.5 7.18e-02 3.39e-02f  1
  95r 2.1101687e+05 9.91e+03 3.48e+01  -3.6 1.09e+02  -2.0 1.02e-02 4.57e-05f  1
  96r 2.1399847e+05 9.91e+03 3.29e+01  -3.6 3.98e+01  -1.6 4.29e-02 5.08e-02f  1
  97r 2.1400605e+05 9.91e+03 3.38e+01  -3.6 1.25e+02  -2.1 1.04e-02 8.69e-05f  1
  98r 2.1658183e+05 9.91e+03 3.23e+01  -3.6 4.38e+01  -1.6 3.67e-02 4.12e-02f  1
  99r 2.1659810e+05 9.91e+03 3.28e+01  -3.6 1.44e+02  -2.1 5.30e-03 1.94e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r 2.1855593e+05 9.91e+03 3.13e+01  -3.6 4.83e+01  -1.7 1.18e-02 2.95e-02f  1
 101r 2.1863022e+05 9.91e+03 3.16e+01  -3.6 1.71e+02  -2.2 3.56e-03 9.72e-04f  1
 102r 2.1959700e+05 9.91e+03 3.32e+01  -3.6 5.35e+01  -1.7 6.80e-02 1.37e-02f  1
 103r 2.1967632e+05 9.91e+03 3.31e+01  -3.6 2.01e+02  -2.2 1.07e-03 1.15e-03f  1
 104r 2.2019718e+05 9.91e+03 3.45e+01  -3.6 5.93e+01  -1.8 4.45e-02 6.96e-03f  1
 105r 2.2023846e+05 9.91e+03 3.45e+01  -3.6 2.61e+02  -2.3 1.29e-03 8.26e-04f  1
 106r 2.2070651e+05 9.90e+03 3.55e+01  -3.6 6.59e+01  -1.8 2.92e-02 5.90e-03f  1
 107r 2.2071327e+05 9.90e+03 3.55e+01  -3.6 4.15e+02  -2.3 9.98e-04 5.42e-04f  1
 108r 2.2111095e+05 9.90e+03 3.63e+01  -3.6 7.34e+01  -1.9 2.09e-02 4.76e-03f  1
 109r 2.2109002e+05 9.90e+03 3.64e+01  -3.6 7.40e+02  -2.4 6.96e-04 3.29e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 2.2142063e+05 9.90e+03 3.68e+01  -3.6 8.19e+01  -1.9 1.33e-02 3.77e-03f  1
 111r 2.2369928e+05 9.90e+03 3.59e+01  -3.6 3.33e+01  -1.5 1.19e-01 4.55e-02f  1
 112r 2.2405462e+05 9.90e+03 3.62e+01  -3.6 9.12e+01  -2.0 9.94e-03 3.95e-03f  1
 113r 2.2590261e+05 9.90e+03 4.45e+01  -3.6 3.67e+01  -1.6 4.16e-01 3.44e-02f  1
 114r 2.2633473e+05 9.90e+03 4.45e+01  -3.6 1.01e+02  -2.0 5.73e-03 4.65e-03f  1
 115r 2.2752839e+05 9.90e+03 4.74e+01  -3.6 4.03e+01  -1.6 1.12e-01 2.07e-02f  1
 116r 2.2762972e+05 9.90e+03 4.82e+01  -3.6 1.13e+02  -2.1 4.17e-03 1.07e-03f  1
 117r 2.2938279e+05 9.90e+03 4.94e+01  -3.6 4.45e+01  -1.7 7.51e-02 2.83e-02f  1
 118r 2.2957943e+05 9.90e+03 4.98e+01  -3.6 1.27e+02  -2.1 3.50e-03 2.06e-03f  1
 119r 2.3037229e+05 9.90e+03 5.07e+01  -3.6 4.91e+01  -1.7 3.28e-02 1.20e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r 2.3185887e+05 9.90e+03 4.68e+01  -3.6 2.06e+01  -1.3 1.76e-01 4.63e-02f  1
 121r 2.3190753e+05 9.90e+03 4.86e+01  -3.6 5.40e+01  -1.8 1.93e-02 6.96e-04f  1
 122r 2.3192341e+05 9.90e+03 4.90e+01  -3.6 3.85e+02  -2.3 1.05e-03 1.71e-04f  1
 123r 2.3312980e+05 9.90e+03 4.78e+01  -3.6 5.98e+01  -1.8 1.25e-02 1.62e-02f  1
 124r 2.3317723e+05 9.90e+03 4.75e+01  -3.6 2.19e+02  -2.3 1.39e-04 5.43e-04f  1
 125r 2.3364660e+05 9.90e+03 4.88e+01  -3.6 6.65e+01  -1.9 1.62e-02 5.98e-03f  1
 126r 2.3369036e+05 9.90e+03 4.81e+01  -3.6 8.80e+02  -2.4 5.47e-06 6.54e-04f  1
 127r 2.3454741e+05 9.90e+03 4.66e+01  -3.6 7.36e+01  -1.9 4.74e-03 1.03e-02f  1
 128r 2.3455603e+05 9.90e+03 4.76e+01  -3.6 7.26e+02  -2.4 9.46e-04 1.53e-04f  1
 129r 2.3469601e+05 9.90e+03 4.94e+01  -3.6 8.13e+01  -2.0 1.02e-02 1.61e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r 2.3472304e+05 9.90e+03 4.95e+01  -3.6 8.91e+02  -2.5 5.03e-04 4.69e-04f  1
 131r 2.3514781e+05 9.90e+03 4.84e+01  -3.6 8.72e+01  -2.0 1.25e-03 4.56e-03f  1
 132r 2.3511103e+05 9.90e+03 4.82e+01  -3.6 2.81e+03  -2.5 1.20e-04 1.62e-04f  1
 133r 2.3515156e+05 9.90e+03 5.06e+01  -3.6 1.02e+02  -2.1 7.91e-03 4.34e-04f  1
 134r 2.3660664e+05 9.90e+03 5.14e+01  -3.6 4.17e+01  -1.7 5.44e-02 2.50e-02f  1
 135r 2.3683978e+05 9.90e+03 5.18e+01  -3.6 1.21e+02  -2.1 3.91e-03 2.45e-03f  1
 136r 2.3683222e+05 9.90e+03 5.18e+01  -3.6 1.51e+04  -2.6 1.22e-05 1.02e-05f  1
 137r 2.3695052e+05 9.90e+03 5.13e+01  -3.6 1.77e+02  -2.2 2.68e-04 1.20e-03f  1
 138r 2.3879570e+05 9.90e+03 5.00e+01  -3.6 5.09e+01  -1.8 2.83e-02 2.76e-02f  1
 139r 2.3881205e+05 9.90e+03 5.07e+01  -3.6 2.54e+02  -2.2 1.52e-03 1.66e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 2.3980883e+05 9.89e+03 5.01e+01  -3.6 5.57e+01  -1.8 1.49e-02 1.40e-02f  1
 141r 2.3987753e+05 9.89e+03 5.00e+01  -3.6 3.45e+02  -2.3 6.87e-04 7.36e-04f  1
 142r 2.4054016e+05 9.89e+03 5.07e+01  -3.6 6.18e+01  -1.9 1.54e-02 8.80e-03f  1
 143r 2.4057382e+05 9.89e+03 5.21e+01  -3.6 4.09e+02  -2.3 1.88e-03 3.83e-04f  1
 144r 2.4120226e+05 9.89e+03 5.25e+01  -3.6 6.83e+01  -1.9 1.22e-02 7.90e-03f  1
 145r 2.4124701e+05 9.89e+03 5.34e+01  -3.6 5.21e+02  -2.4 1.39e-03 5.87e-04f  1
 146r 2.4150759e+05 9.89e+03 5.45e+01  -3.6 7.59e+01  -2.0 7.85e-03 3.12e-03f  1
 147r 2.4153880e+05 9.89e+03 5.51e+01  -3.6 7.20e+02  -2.4 9.53e-04 5.37e-04f  1
 148r 2.4211571e+05 9.89e+03 5.40e+01  -3.6 8.40e+01  -2.0 4.27e-03 6.57e-03f  1
 149r 2.4211710e+05 9.89e+03 5.42e+01  -3.6 1.53e+03  -2.5 1.74e-04 8.06e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 2.4249219e+05 9.89e+03 5.64e+01  -3.6 9.34e+01  -2.1 1.10e-02 4.11e-03f  1
 151r 2.4529259e+05 9.89e+03 5.15e+01  -3.6 3.91e+01  -1.6 2.78e-02 5.11e-02f  1
 152r 2.4533810e+05 9.89e+03 5.29e+01  -3.6 1.10e+02  -2.1 3.72e-03 4.92e-04f  1
 153r 2.4531969e+05 9.89e+03 5.35e+01  -3.6 2.06e+03  -2.6 2.79e-04 1.56e-04f  1
 154r 2.4559571e+05 9.89e+03 5.28e+01  -3.6 1.61e+02  -2.2 1.77e-03 2.90e-03f  1
 155r 2.4557282e+05 9.89e+03 5.26e+01  -3.6 5.57e+05  -2.6 3.59e-07 6.01e-07f  1
 156r 2.4568391e+05 9.89e+03 5.27e+01  -3.6 1.89e+02  -2.2 1.40e-03 1.14e-03f  1
 157r 2.4716419e+05 9.89e+03 5.54e+01  -3.6 5.26e+01  -1.8 4.60e-02 2.20e-02f  1
 158r 2.4720652e+05 9.89e+03 5.54e+01  -3.6 2.89e+02  -2.3 4.64e-04 4.28e-04f  1
 159r 2.4770090e+05 9.89e+03 5.83e+01  -3.6 5.74e+01  -1.8 2.35e-02 6.90e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 2.5194520e+05 9.89e+03 5.34e+01  -3.6 2.46e+01  -1.4 1.70e-01 1.16e-01f  1
 161r 2.5298531e+05 9.89e+03 5.26e+01  -3.6 6.26e+01  -1.9 1.40e-02 1.40e-02f  1
 162r 2.5299942e+05 9.89e+03 5.35e+01  -3.6 3.44e+02  -2.4 9.59e-04 1.59e-04f  1
 163r 2.5371271e+05 9.89e+03 5.36e+01  -3.6 6.91e+01  -1.9 1.11e-02 9.13e-03f  1
 164r 2.5374635e+05 9.89e+03 5.41e+01  -3.6 4.56e+02  -2.4 7.44e-04 4.13e-04f  1
 165r 2.5417077e+05 9.89e+03 5.52e+01  -3.6 7.65e+01  -2.0 9.24e-03 5.18e-03f  1
 166r 2.5701457e+05 9.89e+03 5.29e+01  -3.6 3.27e+01  -1.6 7.36e-02 6.16e-02f  1
 167r 2.5752763e+05 9.89e+03 5.28e+01  -3.6 8.26e+01  -2.0 6.34e-03 6.03e-03f  1
 168r 2.5754154e+05 9.89e+03 5.32e+01  -3.6 5.42e+02  -2.5 3.52e-04 1.70e-04f  1
 169r 2.5792778e+05 9.88e+03 5.48e+01  -3.6 8.98e+01  -2.1 7.26e-03 4.32e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 2.5793092e+05 9.88e+03 5.49e+01  -3.6 3.23e+03  -2.6 6.76e-05 4.21e-05f  1
 171r 2.5830228e+05 9.88e+03 5.35e+01  -3.6 9.66e+01  -2.1 2.44e-03 3.94e-03f  1
 172r 2.5833549e+05 9.88e+03 5.26e+01  -3.6 8.46e+02  -2.6 1.77e-04 4.18e-04f  1
 173r 2.5857816e+05 9.88e+03 6.25e+01  -3.6 1.05e+02  -2.2 1.30e-02 2.46e-03f  1
 174r 2.5857818e+05 9.88e+03 6.25e+01  -3.6 1.36e+04  -2.7 8.80e-07 1.38e-06f  1
