This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:    34816
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   101400

Total number of variables............................:     6010
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     1803
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.2064518e+02 1.00e+04 4.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.1741808e+02 1.00e+04 5.75e+00  -1.0 1.00e+04    -  9.90e-07 6.11e-06f  1
   2  1.2570568e+03 1.00e+04 3.89e+01  -1.0 1.00e+04    -  2.86e-06 5.29e-05h  1
   3r 1.2570568e+03 1.00e+04 9.99e+02   4.0 0.00e+00    -  0.00e+00 2.97e-07R  5
   4r 5.1873470e+03 1.00e+04 3.58e+03   4.0 8.56e+03    -  4.27e-03 8.68e-05f  1
   5r 6.5656705e+03 1.00e+04 3.08e+03   1.9 1.16e+01    -  1.48e-01 8.55e-01f  1
   6r 7.8141469e+03 9.99e+03 2.46e+03   1.9 6.87e+00    -  2.00e-01 5.10e-01f  1
   7r 9.5682279e+03 9.99e+03 1.61e+03   1.9 5.99e+00    -  3.42e-01 5.94e-01f  1
   8r 9.7659851e+03 9.99e+03 8.98e+02   1.2 2.80e+00    -  4.43e-01 6.29e-01f  1
   9r 1.0433193e+04 9.99e+03 6.20e+02   1.2 3.77e+00    -  3.12e-01 5.95e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 1.1527919e+04 9.98e+03 2.55e+02   1.2 3.38e+00    -  5.92e-01 5.98e-01f  1
  11r 1.1473726e+04 9.99e+03 1.55e+02   0.5 2.63e+00    -  4.39e-01 6.91e-01f  1
  12r 1.2127563e+04 9.99e+03 2.18e+02   0.5 5.42e+00    -  3.53e-01 5.53e-01f  1
  13r 1.3217630e+04 9.99e+03 9.28e+01   0.5 4.09e+00    -  5.33e-01 5.01e-01f  1
  14r 1.3912818e+04 9.99e+03 9.38e+01  -0.2 6.32e+00    -  4.23e-01 2.88e-01f  1
  15r 1.7073245e+04 9.99e+03 1.06e+02  -0.2 2.01e+01    -  3.23e-01 2.21e-01f  1
  16r 2.2889477e+04 9.99e+03 6.92e+01  -0.2 1.71e+01    -  3.21e-01 4.57e-01f  1
  17r 2.5799340e+04 9.99e+03 5.12e+01  -0.2 1.21e+01    -  3.48e-01 4.02e-01f  1
  18r 2.6796424e+04 9.99e+03 6.95e+01  -0.2 9.39e+00    -  8.76e-02 2.07e-01f  1
  19r 2.6731006e+04 9.99e+03 1.16e+03  -0.2 3.81e-01   2.0 1.63e-02 5.19e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 2.6692580e+04 9.99e+03 7.15e+02  -0.2 1.05e+00   1.5 4.42e-01 3.64e-01f  1
  21r 2.6842632e+04 9.99e+03 6.84e+02  -0.2 4.55e+00    -  6.39e-01 5.41e-02f  1
  22r 2.9436593e+04 9.99e+03 3.62e+01  -0.2 4.37e+00    -  1.00e+00 1.00e+00f  1
  23r 2.9663303e+04 9.99e+03 4.92e+01  -0.2 2.98e+01    -  6.20e-02 4.48e-02h  1
  24r 2.9643503e+04 9.99e+03 2.99e+00  -0.2 1.10e-01   1.0 1.00e+00 1.00e+00f  1
  25r 2.9473291e+04 9.99e+03 3.00e+01  -1.6 3.80e+00    -  4.10e-01 2.75e-01f  1
  26r 3.1040811e+04 9.99e+03 1.62e+02  -1.6 5.52e+00   0.6 7.95e-01 3.85e-01f  1
  27r 3.5271185e+04 9.99e+03 1.05e+02  -1.6 1.54e+01   0.1 4.90e-01 3.72e-01f  1
  28r 3.8865510e+04 9.99e+03 1.99e+01  -1.6 5.96e+00   0.5 8.37e-01 8.42e-01f  1
  29r 4.1758507e+04 9.99e+03 1.92e+01  -1.6 1.59e+01   0.0 2.46e-01 2.60e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
