This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    35416
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   109200

Total number of variables............................:     6010
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     1803
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.2060299e+02 1.00e+04 4.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.4453153e+02 1.00e+04 1.41e+02  -1.0 1.00e+04    -  9.90e-07 3.96e-05f  1
   2  9.5268929e+02 1.00e+04 1.55e+02  -1.0 1.41e+04   2.0 2.30e-07 3.29e-05f  1
   3  1.0481112e+03 1.00e+04 1.80e+02  -1.0 1.00e+04   2.4 2.50e-05 1.61e-05h  1
   4  1.1147776e+03 1.00e+04 1.87e+02  -1.0 1.00e+04   1.9 1.15e-05 9.60e-06h  1
   5r 1.1147776e+03 1.00e+04 9.99e+02   4.0 0.00e+00   2.4 0.00e+00 3.02e-07R  5
   6r 5.2659648e+03 1.00e+04 3.05e+03   4.0 6.41e+03    -  4.27e-03 1.15e-04f  1
   7r 6.4265715e+03 9.99e+03 2.31e+03   1.9 1.27e+01    -  1.47e-01 7.82e-01f  1
   8r 6.6867837e+03 9.99e+03 2.08e+03   1.9 1.36e+01    -  1.01e-01 1.27e-01f  1
   9r 8.0582262e+03 9.98e+03 1.56e+03   1.9 1.46e+01    -  2.35e-01 5.98e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 9.7716483e+03 9.98e+03 1.19e+03   1.9 6.02e+00    -  3.47e-01 6.27e-01f  1
  11r 9.9728701e+03 9.98e+03 8.15e+02   1.2 2.41e+00    -  3.69e-01 6.09e-01f  1
  12r 1.0522404e+04 9.98e+03 5.01e+02   1.2 3.75e+00    -  4.05e-01 5.86e-01f  1
  13r 1.1577164e+04 9.98e+03 1.99e+02   1.2 2.09e+00    -  6.15e-01 6.93e-01f  1
  14r 1.1839205e+04 9.99e+03 2.08e+02   0.5 8.78e+00    -  3.46e-01 7.00e-01f  1
  15r 1.3123321e+04 9.99e+03 1.10e+02   0.5 4.43e+00    -  5.40e-01 5.76e-01f  1
  16r 1.4895424e+04 9.99e+03 6.44e+01   0.5 6.92e+00    -  4.08e-01 4.02e-01f  1
  17r 1.5671776e+04 9.99e+03 6.45e+01  -0.2 2.81e+00    -  5.02e-01 6.39e-01f  1
  18r 1.8148067e+04 9.99e+03 5.01e+01  -0.2 1.93e+01    -  2.22e-01 1.77e-01f  1
  19r 1.7943787e+04 9.99e+03 6.46e+02  -0.2 1.94e-01   2.0 1.83e-01 8.58e-01f  1
