This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    37219
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   112800

Total number of variables............................:     6611
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     2404
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.2068737e+02 1.00e+04 4.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.2361855e+02 1.00e+04 5.84e+00  -1.0 1.10e+04    -  9.04e-07 5.10e-06f  1
   2  7.4536811e+02 1.00e+04 1.62e+01  -1.0 1.00e+04    -  2.24e-06 2.84e-05f  2
   3  8.5019274e+02 1.00e+04 1.64e+01  -1.0 1.83e+04    -  5.93e-06 1.51e-05f  1
   4  8.6187520e+02 1.00e+04 1.64e+01  -1.0 3.21e+04    -  4.79e-06 1.88e-06f  3
   5  8.7890995e+02 1.00e+04 1.63e+01  -1.0 2.43e+04    -  2.65e-06 2.55e-06f  3
   6  8.8340907e+02 1.00e+04 1.63e+01  -1.0 2.52e+04    -  4.14e-06 6.31e-07f  5
   7  8.9598414e+02 1.00e+04 1.61e+01  -1.0 2.16e+04    -  2.90e-06 1.61e-06f  4
   8  9.0287634e+02 1.00e+04 1.61e+01  -1.0 2.38e+04    -  1.51e-06 8.12e-07f  5
   9  9.0332322e+02 1.00e+04 1.61e+01  -1.0 2.53e+04    -  1.23e-06 5.11e-08h  9
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  9.0726108e+02 1.00e+04 1.61e+01  -1.0 2.56e+04    -  7.76e-07 4.42e-07f  6
  11  9.1487146e+02 1.00e+04 1.60e+01  -1.0 2.63e+04    -  8.16e-07 8.16e-07s  6
  12  9.2468348e+02 1.00e+04 1.59e+01  -1.0 2.73e+04    -  9.87e-07 9.87e-07s  6
  13  9.3685506e+02 1.00e+04 1.58e+01  -1.0 2.81e+04    -  1.14e-06 1.14e-06s  6
  14  9.5158960e+02 1.00e+04 1.57e+01  -1.0 2.86e+04    -  1.29e-06 1.29e-06s  6
  15  9.7035717e+02 1.00e+04 1.54e+01  -1.0 2.85e+04    -  1.54e-06 1.54e-06s  6
  16  9.9597870e+02 1.00e+04 1.51e+01  -1.0 2.75e+04    -  1.99e-06 1.99e-06s  6
  17  1.0356052e+03 1.00e+04 1.44e+01  -1.0 2.52e+04    -  2.94e-06 2.94e-06s  6
  18  1.1519161e+03 1.00e+04 1.11e+01  -1.0 2.07e+04    -  8.09e-06 8.09e-06s  6
  19  1.1961766e+03 1.00e+04 1.09e+01  -1.0 1.29e+04    -  3.83e-06 3.83e-06s  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 1.1961766e+03 1.00e+04 9.99e+02   4.0 0.00e+00    -  0.00e+00 0.00e+00R  1
  21r 1.3386591e+03 1.00e+04 7.43e+04   4.0 1.74e+05    -  4.27e-03 4.26e-06f  1
  22r 5.1622538e+03 1.00e+04 5.75e+04   2.6 1.32e+01    -  2.26e-01 4.36e-01f  1
  23r 8.5271478e+03 9.99e+03 4.37e+04   2.6 1.87e+01    -  2.40e-01 4.53e-01f  1
  24r 1.4671624e+04 9.98e+03 2.85e+04   2.6 1.20e+01    -  3.47e-01 6.29e-01f  1
  25r 2.2167921e+04 9.98e+03 1.53e+04   2.6 5.46e+00    -  4.62e-01 6.99e-01f  1
  26r 2.0773839e+04 9.99e+03 8.99e+03   1.9 5.47e+00    -  4.14e-01 6.09e-01f  1
  27r 2.1486894e+04 9.99e+03 4.20e+03   1.9 2.78e+00    -  5.34e-01 6.64e-01f  1
  28r 1.8812968e+04 9.99e+03 1.44e+03   1.2 2.91e+00    -  6.58e-01 6.41e-01f  1
  29r 1.8852931e+04 9.99e+03 6.97e+02   1.2 3.26e+00    -  5.21e-01 6.75e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 1.5785504e+04 9.99e+03 2.63e+02   0.5 3.40e+00    -  6.22e-01 6.57e-01f  1
  31r 1.5623622e+04 9.99e+03 1.92e+02   0.5 5.36e+00    -  3.03e-01 4.87e-01f  1
  32r 1.6089754e+04 9.99e+03 9.39e+01   0.5 4.01e+00    -  5.28e-01 5.62e-01f  1
  33r 1.5716603e+04 9.99e+03 3.33e+01  -0.2 2.44e+00    -  6.38e-01 6.00e-01f  1
  34r 1.6488365e+04 9.99e+03 3.19e+01  -0.2 2.85e+01    -  4.88e-02 4.32e-02f  1
  35r 1.6349862e+04 9.99e+03 9.81e+02  -0.2 1.50e-01   2.0 6.34e-02 7.71e-01f  1
  36r 2.1287878e+04 9.99e+03 5.76e+02  -0.2 1.84e+01    -  3.15e-01 4.38e-01f  1
  37r 2.1869619e+04 9.99e+03 5.26e+02  -0.2 1.15e+01    -  9.43e-02 7.56e-02f  1
  38r 2.1814179e+04 9.99e+03 2.13e+02  -0.2 1.53e+00   1.5 1.00e+00 4.84e-01f  1
  39r 2.1906023e+04 9.99e+03 1.31e+02  -0.2 6.59e-01   1.0 4.49e-01 3.37e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 2.2501579e+04 9.99e+03 9.49e+01  -0.2 1.77e+00   0.6 1.00e+00 5.68e-01f  1
  41r 2.4642007e+04 9.99e+03 7.10e+01  -0.2 1.01e+01    -  2.34e-01 3.39e-01f  1
  42r 2.8442882e+04 9.99e+03 1.60e+02  -0.2 6.74e+00    -  2.25e-01 8.86e-01f  1
  43r 2.8453386e+04 9.99e+03 1.60e+02  -0.2 1.80e+01   1.0 4.99e-03 3.66e-02f  1
  44r 2.8459726e+04 9.99e+03 9.89e+01  -0.2 3.96e+00    -  5.35e-01 3.88e-03f  1
  45r 2.9306853e+04 9.99e+03 6.93e+00  -0.2 2.07e+00    -  1.00e+00 1.00e+00f  1
  46r 2.8862029e+04 9.99e+03 2.95e+01  -0.9 2.50e+00    -  5.14e-01 7.04e-01f  1
  47r 3.0508337e+04 9.99e+03 8.92e+01  -0.9 4.17e+00   0.5 1.01e-01 5.57e-01f  1
  48r 3.4863670e+04 9.99e+03 2.48e+01  -0.9 1.02e+01   0.0 7.31e-01 6.19e-01f  1
  49r 3.8993179e+04 9.99e+03 1.05e+02  -0.9 1.74e+01  -0.4 4.87e-01 3.39e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 3.9513362e+04 9.99e+03 2.29e+02  -0.9 2.50e+01  -0.9 2.04e-01 3.30e-02f  1
  51r 4.0080222e+04 9.99e+03 2.25e+02  -0.9 4.14e+01  -1.4 3.10e-02 2.85e-02f  1
  52r 4.0936356e+04 9.99e+03 2.52e+02  -0.9 2.36e+01  -1.0 1.24e-01 5.58e-02f  1
  53r 4.1005885e+04 9.99e+03 2.46e+02  -0.9 3.52e+00   0.4 2.43e-02 2.76e-02f  1
  54r 4.2589923e+04 9.99e+03 1.76e+02  -0.9 8.34e+00  -0.1 1.95e-01 2.70e-01f  1
  55r 4.5346456e+04 9.99e+03 9.99e+01  -0.9 1.41e+01  -0.6 1.95e-01 2.76e-01f  1
  56r 4.6911700e+04 9.99e+03 1.10e+02  -0.9 2.40e+01    -  1.35e-01 1.05e-01f  1
