timestep,S,I,C,υ
1,0.99,0.01,-1.24812177536397e-38,3.5876086529675355e-8
2,0.9801493357633156,0.015915970833810692,0.009850664236684358,3.763543672234005e-8
3,0.964672796881648,0.025130063171465912,0.02532720311835204,4.058790583964996e-8
4,0.9407325790024269,0.03918237167323043,0.0492674209975731,4.572723562362434e-8
5,0.9045852408258603,0.059912647916636655,0.0854147591741397,5.524540584960964e-8
6,0.8519807192737233,0.08894337941814534,0.13801928072627667,7.494816209490398e-8
7,0.779474928068678,0.12645267780060404,0.210525071931322,1.2608058498926566e-7
8,0.6868856719537075,0.1692866822037999,0.3031143280462924,3.820553680718931e-7
9,0.5799148279972212,0.2096484069941201,0.41008517200277883,0.4999999199911436
10,0.5222033253492218,0.1848696892498457,0.4677966746507782,0.4999999359000688
11,0.476097263161388,0.15823519676941222,0.513902736838612,0.49999993857106767
12,0.43988114245034066,0.13219061899735732,0.5501188575496593,0.499999933943394
13,0.4117470651953194,0.10831174060330974,0.5782529348046805,0.4999999226071663
14,0.39004158541592415,0.08739987126214432,0.5999584145840757,0.49999990240090225
15,0.3733638519406513,0.0696884350507005,0.6166361480593485,0.4999998671394569
16,0.3605783217388717,0.055053702687421956,0.6294216782611282,0.4999997997639338
17,0.3507880971720437,0.043181983177453295,0.6392119028279563,0.49999963670787306
18,0.3432954072459024,0.03368388667046186,0.6467045927540975,0.4999988205323993
19,0.33756204790430916,0.026163669345514045,0.6524379520956908,1.6795847725737648e-7
20,0.3288447234332775,0.024586392099669507,0.6611552765667225,1.32714531408336e-7
21,0.3208582013751165,0.022898922678326973,0.6691417986248833,1.0787401453733595e-7
22,0.3135943792674946,0.021152720786416154,0.6764056207325052,8.994794094255796e-8
23,0.3070306703992182,0.019393482561578496,0.6829693296007817,7.670883586521995e-8
24,0.3011336436668565,0.017659768504561402,0.6888663563331434,6.672276458240281e-8
25,0.2958623752663348,0.015982459441965715,0.6941376247336651,5.9048709045129166e-8
26,0.29117135401407357,0.014384872921427072,0.6988286459859262,5.3054943808864054e-8
27,0.28701287262939235,0.01288334784759678,0.7029871273706074,4.8307483774943325e-8
28,0.283338903460613,0.011488114638089558,0.7066610965393868,4.450152360899942e-8
29,0.28010249948429866,0.010204297726609187,0.7098975005157012,4.141852160305443e-8
30,0.2772587840386533,0.009032934877669782,0.7127412159613467,3.88987772091949e-8
31,0.27476560092784663,0.007971935061300941,0.7152343990721532,3.682353915821107e-8
32,0.27258389524278487,0.007016928716978921,0.717416104757215,3.510309311013584e-8
33,0.2706778885245574,0.00616198912209323,0.7193221114754426,3.366867649124488e-8
34,0.26901510267137435,0.005400221180548289,0.7209848973286256,3.2466890838698454e-8
35,0.2675662771730835,0.004724225213522951,0.7224337228269164,3.1455774295559827e-8
36,0.26630521497615117,0.004126449632321464,0.7236947850238488,3.060199701009326e-8
37,0.2652085841053941,0.003599449088519946,0.7247914158946058,2.987882855157957e-8
38,0.26425569530370846,0.0031360650319477057,0.7257443046962916,2.926464428012017e-8
39,0.26342827038969435,0.0027295445067430746,0.7265717296103058,2.8741813399461562e-8
40,0.26271021165442726,0.0023736111656569377,0.7272897883455729,2.829586097954098e-8
41,0.2620873792537275,0.0020625003469069724,0.7279126207462727,2.791482914361295e-8
42,0.2615473810228652,0.0017909679269293346,0.728452618977135,2.7588784786337167e-8
43,0.2610793772799353,0.0015542807011744949,0.7289206227200649,2.7309436331712108e-8
44,0.26067390184637695,0.001348194332620305,0.7293260981536231,2.7069832514477412e-8
45,0.26032269957640397,0.0011689234679580086,0.7296773004235961,2.6864123501779067e-8
46,0.2600185800526497,0.0010131074459283826,0.7299814199473504,2.6687369863897553e-8
47,0.259755286694896,0.0008777740852924383,0.7302447133051041,2.653538861813677e-8
48,0.2595273802815702,0.0007603033083569125,0.73047261971843,2.640462825547504e-8
49,0.25933013575327646,0.0006583917954931288,0.7306698642467238,2.6292066619400237e-8
50,0.25915945111890726,0.0005700194444390309,0.7308405488810928,2.6195126949749216e-8
51,0.2590117672917534,0.0004934180968385192,0.7309882327082468,2.5983595473305682e-8
