timestep,S,I,C,υ
1,0.99,0.01,1.0935500410135839e-38,4.097414321706481e-7
2,0.9875280921850634,0.01129687684078249,0.002471907814936535,4.1354531037771664e-7
3,0.9847430321894114,0.01275451881652221,0.005256967810588547,4.178966498555284e-7
4,0.9816080534155576,0.01439080212339168,0.008391946584442436,4.228807269323983e-7
5,0.9780828681741761,0.016225023540982472,0.011917131825823933,4.285979576685544e-7
6,0.9741235509114369,0.01827785028201833,0.015876449088563088,4.351671753598447e-7
7,0.9696824861062491,0.020571211064973956,0.02031751389375089,4.4272975336607446e-7
8,0.9647084038615049,0.02312811229199768,0.025291596138495097,4.5145486621821253e-7
9,0.9591465302490322,0.025972361072789347,0.030853469750967782,4.6154627533377697e-7
10,0.9529388833283411,0.02912817512023646,0.03706111667165892,4.7325117824482213e-7
11,0.9460247490003971,0.03261965864949433,0.0439752509996029,4.868718864162733e-7
12,0.938341372863313,0.03647012385862967,0.051658627136687015,5.027814352492348e-7
13,0.929824904203374,0.04070124000205615,0.06017509579662592,5.21444745512499e-7
14,0.9204116251997267,0.04533199723681405,0.06958837480027319,5.434477569457284e-7
15,0.9100394912308304,0.0503774811183582,0.07996050876916956,5.695382289644565e-7
16,0.8986499957058673,0.0558474665719282,0.0913500042941327,6.006839805203761e-7
17,0.886190354118129,0.061744857854661696,0.10380964588187103,6.38157823739568e-7
18,0.8726159764582514,0.06806402346714269,0.11738402354174864,6.836644729172118e-7
19,0.8578931649130851,0.07478910143236485,0.13210683508691484,7.395355228170397e-7
20,0.8420019362180344,0.0818923790561978,0.14799806378196553,8.090388032512765e-7
21,0.8249388278999494,0.08933287918046323,0.1650611721000506,8.968880455114424e-7
22,0.8067195093701864,0.09705530770548562,0.18328049062981353,1.0101209264020236e-6
23,0.7873809883732084,0.104989529426464,0.20261901162679166,1.1596952872052723e-6
24,0.7669831876354788,0.11305073526039822,0.22301681236452114,1.3635880145989814e-6
25,0.7456096726110202,0.1211404387266712,0.2443903273889798,1.6533219390363195e-6
26,0.7233673443495671,0.1291483902154794,0.26663265565043287,2.0891807604852918e-6
27,0.700384973840609,0.13695542484790524,0.2896150261593909,2.800185697741712e-6
28,0.6768105431845297,0.14443716887651312,0.31318945681547034,4.097988100401307e-6
29,0.6528074669443314,0.15146843039180916,0.3371925330556685,7.321044370066281e-6
30,0.6285498945207054,0.15792799308374808,0.36145010547929457,0.49999393468814957
31,0.6162632172154511,0.15165764203306345,0.37373678278454897,0.4999961253486848
32,0.6046905386370747,0.14541007792583824,0.3853094613629253,0.4999970373373486
33,0.5937987476837809,0.1392157343274306,0.39620125231621905,0.49999753208288766
34,0.5835548217759139,0.1331013802428645,0.4064451782240861,0.49999783678100096
35,0.5739261078960715,0.1270902696739048,0.41607389210392853,0.4999980379868157
36,0.5648805597336558,0.12120231749827758,0.42511944026634413,0.4999981759209153
37,0.5563869275855657,0.11545430192639473,0.4336130724144342,0.4999982718288086
38,0.5484149056207771,0.10986008580489875,0.44158509437922294,0.49999833794485943
39,0.5409352420085813,0.1044308490526968,0.4490647579914187,0.4999983817581289
40,0.5339198172711845,0.09917532556068115,0.45608018272881545,0.4999984080524693
41,0.5273416958188777,0.09410003907242682,0.4626583041811223,0.4999984199661294
42,0.5211751551405217,0.08920953369286205,0.4688248448594783,0.49999841957832447
43,0.5153956966165648,0.08450659568892376,0.4746043033834352,0.4999984082499934
44,0.5099800414264818,0.079992464133527,0.48001995857351826,0.4999983868285156
45,0.5049061145541308,0.07566702870029786,0.4850938854458692,0.49999835577273766
46,0.5001530194623978,0.07152901354752557,0.4898469805376022,0.49999831522860333
47,0.4957010056172689,0.06757614674575177,0.4942989943827311,0.49999826507215306
48,0.49153143069261557,0.06380531511638136,0.4984685693073844,0.4999982049291911
49,0.48762671897983,0.060212704671426184,0.50237328102017,0.4999981341764842
50,0.48397031725897555,0.05679392708962904,0.5060296827410244,0.4999980519264387
51,0.4805466491574262,0.05354413284376237,0.5094533508425738,0.4999979569949743
52,0.47734106882472427,0.05045811171890031,0.5126589311752757,0.499997847850237
53,0.47433981458507835,0.047530381541842914,0.5156601854149216,0.4999977225374466
54,0.4715299630880633,0.04475526598635547,0.5184700369119367,0.4999975785720732
55,0.4688993843603434,0.0421269623350283,0.5211006156396566,0.4999974127890299
56,0.46643669806350896,0.0396396000727948,0.523563301936491,0.49999722112859896
57,0.46413123118256233,0.03728729116488014,0.5258687688174376,0.4999969983285402
58,0.4619729773036701,0.035064172837668946,0.52802702269633,0.49999673747295775
59,0.4599525575862521,0.032964443638351756,0.5300474424137479,0.4999964293156913
60,0.4580611834913124,0.03098239350120954,0.5319388165086876,0.49999606123676615
61,0.4562906212933809,0.02911242849740606,0.533709378706619,0.49999561557870065
62,0.45463315837596197,0.027349090893095295,0.535366841624038,0.4999950668878663
63,0.45308157128853477,0.025687075089088376,0.5369184287114652,0.4999943771195514
64,0.45162909552540703,0.024121239965706136,0.538370904474593,0.49999348681236777
65,0.450269396971172,0.022646618110470425,0.539730603028828,0.49999229763690467
66,0.4489965449406704,0.021258422367008017,0.5410034550593297,0.4999906346628934
67,0.4478049867148657,0.0199520501185243,0.5421950132851343,0.49998815523423573
68,0.4466895234128432,0.018723085731832814,0.5433104765871568,0.4999840900152208
69,0.4456452868408718,0.017567301737139718,0.5443547131591282,0.4999758778083208
70,0.4446677152518974,0.016480660958769162,0.5453322847481026,7.498218546592859e-6
71,0.44283939357768176,0.016372453922876302,0.5471606064223182,6.5202187051796305e-6
72,0.44103051797235665,0.01625751547997243,0.5489694820276433,5.732962692782644e-6
73,0.43924165088898404,0.016136074138169396,0.550758349111016,5.089766963886472e-6
74,0.43747332006629125,0.016008366269502677,0.5525266799337087,4.556573537380646e-6
75,0.4357260185054343,0.015874635209132806,0.5542739814945657,4.1089345976925026e-6
76,0.43400020454653676,0.01573513036061756,0.5559997954534632,3.729262549502321e-6
77,0.43229630204036906,0.015590106311177545,0.5577036979596309,3.4042387230176178e-6
78,0.4306147006101349,0.015439821960812896,0.5593852993898651,3.1236721020104012e-6
79,0.4289557560002966,0.015284539666713278,0.5610442439997033,2.8796808866218324e-6
80,0.42731979050740915,0.01512452440619334,0.5626802094925909,2.666080173026093e-6
81,0.425707093487622,0.014960042961317895,0.5642929065123781,2.4779534047437858e-6
82,0.4241179219353853,0.014791363128132222,0.5658820780646148,2.3113518636272037e-6
83,0.42255250112776066,0.014618752953205291,0.5674474988722393,2.1630731855834754e-6
84,0.4210110253286518,0.014442479999961934,0.5689889746713482,2.030496116842233e-6
85,0.41949365854726145,0.014262810646996742,0.5705063414527386,1.9114569851538427e-6
86,0.41800053534512155,0.014080009420265126,0.5719994646548785,1.8041562824411685e-6
87,0.41653176168612044,0.013894338360746971,0.5734682383138795,1.7070869991700708e-6
88,0.41508741582406344,0.013706056428878566,0.5749125841759366,1.6189789535685244e-6
89,0.4136675492224442,0.013515418946754232,0.5763324507775558,1.5387551282973999e-6
90,0.4122721875012763,0.013322677078811655,0.5777278124987236,1.465497159574346e-6
91,0.4109013314060215,0.013128077351440913,0.5790986685939785,1.3984178622272829e-6
92,0.40955495779386347,0.012931861211695612,0.5804450422061366,1.336839195331473e-6
93,0.40823302063279926,0.012734264625039415,0.5817669793672007,1.2801744617333084e-6
94,0.4069354520092565,0.01253551771183264,0.5830645479907435,1.2279138275433276e-6
95,0.4056621631401898,0.012335844422053323,0.5843378368598101,1.1796124662287444e-6
96,0.4044130453858624,0.012135462247554931,0.5855869546141376,1.1348807938973298e-6
97,0.4031879712597726,0.011934581970989303,0.5868120287402273,1.0933763826463847e-6
98,0.40198679543244287,0.011733407450369758,0.5880132045675571,1.0547972290580858e-6
99,0.4008093557260442,0.011532135438112991,0.5891906442739557,1.0188761234249266e-6
100,0.3996554740970841,0.011330955433280934,0.590344525902916,9.853759179041735e-7
101,0.39852495760463275,0.011130049565645835,0.5914750423953673,9.540855325761206e-7
102,0.39741759936181076,0.010929592510117457,0.5925824006381892,9.248165702025177e-7
103,0.3963331794684933,0.010729751430007917,0.5936668205315067,8.974004354647195e-7
104,0.3952714659234198,0.010530685947558153,0.5947285340765802,8.716858741835633e-7
105,0.39423221551411575,0.010332548140115173,0.5957677844858842,8.475368636772087e-7
106,0.3932151746832462,0.010135482560327426,0.5967848253167538,8.248307979026665e-7
107,0.3922200803702182,0.009939626278717107,0.5977799196297817,8.034569210414121e-7
108,0.39124666082704496,0.009745108946989588,0.598753339172955,7.83314971258118e-7
109,0.3902946364076583,0.009552052880454345,0.5997053635923416,7.643140028932708e-7
110,0.38936372033003,0.009360573157953514,0.6006362796699699,7.463713606615559e-7
111,0.3884536194106152,0.009170777737725375,0.6015463805893848,7.294117837660458e-7
112,0.38756403477078155,0.008982767587667986,0.6024359652292184,7.13366621396513e-7
113,0.3866946625150225,0.008796636828513366,0.6033053374849775,6.981731440108916e-7
114,0.3858451943808748,0.008612472888472377,0.6041548056191253,6.837739372219632e-7
115,0.38501531836058045,0.008430356667964973,0.6049846816394195,6.701163671222961e-7
116,0.38420471929463335,0.00825036271310958,0.6057952807053666,6.571521075552875e-7
117,0.38341307943744596,0.008072559396706034,0.606586920562554,6.448367212396986e-7
118,0.3826400789954588,0.007897009105510399,0.6073599210045412,6.331292878285482e-7
119,0.3818853966380887,0.00772376843266539,0.6081146033619113,6.219920729701624e-7
120,0.3811487099819811,0.007552888374215513,0.608851290018019,6.113902332717336e-7
121,0.38042969604909044,0.0073844145287030455,0.6095703039509096,6.012915527701917e-7
122,0.3797280316991643,0.007218387298907224,0.6102719683008356,5.916662071128872e-7
123,0.37904339403725196,0.007054842094853981,0.610956605962748,5.824865521590586e-7
124,0.3783754607968944,0.0068938095372895955,0.6116245392031056,5.737269341469267e-7
125,0.37772391069968697,0.00673531566087365,0.6122760893003131,5.653635189421711e-7
126,0.37708842379192803,0.006579382116409433,0.6129115762080719,5.573741382016766e-7
127,0.37646868175909015,0.006426026371489673,0.6135313182409098,5.497381505597956e-7
128,0.37586436821886404,0.006275261908992719,0.614135631781136,5.424363161798154e-7
129,0.37527516899353647,0.006127098422920745,0.6147248310064636,5.354506832166738e-7
130,0.3747007723624705,0.00598154201112446,0.6152992276375295,5.287644849128645e-7
131,0.37414086929545853,0.005838595364508965,0.6158591307045415,5.223620462019648e-7
132,0.3735951536677179,0.005698257952364574,0.6164048463322821,5.162286988268125e-7
133,0.3730633224572964,0.005560526203511227,0.6169366775427035,5.103507040946975e-7
134,0.372545075925647,0.005425393682988527,0.617454924074353,5.047151824925955e-7
