timestep,S,I,C,υ
1,0.99,0.01,5.946525567717991e-40,3.5876086529019063e-08
2,0.9801493357633156,0.015915970833810692,0.009850664236684358,3.763543672163325e-08
3,0.964672796881648,0.025130063171465912,0.02532720311835204,4.058790583885415e-08
4,0.9407325790024269,0.03918237167323043,0.04926742099757309,4.5727235622661386e-08
5,0.9045852408258603,0.05991264791663658,0.08541475917413961,5.524540584829614e-08
6,0.8519807192737233,0.08894337941814533,0.13801928072627662,7.494816209269888e-08
7,0.779474928068678,0.12645267780060407,0.21052507193132194,1.2608058498372189e-07
8,0.6868856719537076,0.16928668220379983,0.30311432804629235,3.8205536802706334e-07
9,0.5799148279972213,0.20964840699412005,0.4100851720027787,0.4999999199911436
10,0.5222033253492219,0.18486968924984568,0.4677966746507781,0.4999999359000688
11,0.47609726316138806,0.15823519676941225,0.5139027368386119,0.49999993857106767
12,0.4398811424503407,0.13219061899735732,0.5501188575496593,0.499999933943394
13,0.41174706519531945,0.10831174060330975,0.5782529348046805,0.4999999226071663
14,0.3900415854159242,0.08739987126214437,0.5999584145840758,0.49999990240090225
15,0.3733638519406513,0.06968843505070053,0.6166361480593486,0.4999998671394568
16,0.3605783217388717,0.05505370268742199,0.6294216782611283,0.4999997997639338
17,0.3507880971720436,0.04318198317745333,0.6392119028279564,0.499999636707873
18,0.3432954072459024,0.03368388667046185,0.6467045927540976,0.49999882053239864
19,0.3375620479043091,0.026163669345514062,0.6524379520956909,1.6795847724777446e-07
20,0.3288447234332774,0.024586392099669535,0.6611552765667226,1.327145314020946e-07
21,0.32085820137511645,0.022898922678327008,0.6691417986248835,1.078740145330463e-07
22,0.31359437926749456,0.02115272078641619,0.6764056207325054,8.994794093945734e-08
23,0.30703067039921816,0.019393482561578523,0.6829693296007818,7.670883586287737e-08
24,0.3011336436668564,0.01765976850456143,0.6888663563331435,6.672276458056361e-08
25,0.2958623752663347,0.015982459441965743,0.6941376247336652,5.904870904363643e-08
26,0.2911713540140735,0.014384872921427075,0.6988286459859264,5.30549438076171e-08
27,0.2870128726293923,0.012883347847596802,0.7029871273706078,4.830748377387585e-08
28,0.2833389034606129,0.011488114638089596,0.7066610965393871,4.450152360806596e-08
29,0.28010249948429855,0.010204297726609208,0.7098975005157014,4.1418521602222987e-08
30,0.27725878403865317,0.009032934877669792,0.7127412159613469,3.8898777208442296e-08
31,0.2747656009278465,0.007971935061300969,0.7152343990721535,3.68235391575207e-08
32,0.2725838952427847,0.007016928716978927,0.7174161047572153,3.510309310949502e-08
33,0.27067788852455726,0.006161989122093223,0.7193221114754428,3.366867649064382e-08
34,0.26901510267137424,0.005400221180548298,0.7209848973286258,3.246689083813e-08
35,0.26756627717308334,0.004724225213522978,0.7224337228269166,3.145577429501799e-08
36,0.266305214976151,0.004126449632321473,0.723694785023849,3.060199700957335e-08
37,0.265208584105394,0.003599449088519938,0.724791415894606,2.9878828551077886e-08
38,0.2642556953037083,0.0031360650319477113,0.7257443046962917,2.9264644279633803e-08
39,0.2634282703896942,0.00272954450674309,0.7265717296103058,2.8741813398988004e-08
40,0.2627102116544271,0.0023736111656569607,0.7272897883455729,2.8295860979078236e-08
41,0.2620873792537273,0.0020625003469069716,0.7279126207462727,2.79148291431593e-08
42,0.261547381022865,0.001790967926929312,0.728452618977135,2.758878478589115e-08
43,0.26107937727993513,0.0015542807011744804,0.7289206227200649,2.730943633127271e-08
44,0.26067390184637684,0.0013481943326202964,0.7293260981536231,2.7069832514043626e-08
45,0.26032269957640386,0.0011689234679580027,0.7296773004235961,2.6864123501350058e-08
46,0.2600185800526496,0.0010131074459283778,0.7299814199473503,2.6687369863472647e-08
47,0.2597552866948959,0.0008777740852924336,0.7302447133051041,2.653538861771537e-08
48,0.2595273802815701,0.0007603033083569079,0.7304726197184299,2.6404628255056646e-08
49,0.25933013575327635,0.0006583917954931241,0.7306698642467236,2.6292066618984423e-08
50,0.25915945111890715,0.0005700194444390262,0.7308405488810928,2.61951269493356e-08
51,0.2590117672917533,0.0004934180968385141,0.7309882327082468,2.598359547289691e-08
