timestep,S,I,C,υ
1,0.99,0.01,-5.113983250417904e-38,4.097413755769581e-07
2,0.9875280921850632,0.011296876840782682,0.002471907814936728,4.135452520970355e-07
3,0.9847430321894111,0.012754518816522625,0.005256967810588985,4.1789658960270213e-07
4,0.9816080534155568,0.01439080212339234,0.008391946584443168,4.2288066437793923e-07
5,0.9780828681741749,0.01622502354098345,0.01191713182582506,4.285978924206247e-07
6,0.9741235509114353,0.01827785028201963,0.015876449088564653,4.351671069470019e-07
7,0.969682486106247,0.020571211064975708,0.02031751389375306,4.4272968121574215e-07
8,0.964708403861502,0.023128112291999948,0.025291596138497987,4.5145478962843364e-07
9,0.9591465302490284,0.02597236107279227,0.030853469750971595,4.615461934353636e-07
10,0.9529388833283362,0.029128175120240143,0.03706111667166384,4.7325108994981315e-07
11,0.9460247490003908,0.032619658649498985,0.04397525099960922,4.868717903466466e-07
12,0.9383413728633049,0.036470123858635524,0.051658627136695084,5.027813296366881e-07
13,0.9298249042033638,0.04070124000206344,0.060175095796636116,5.214446280550695e-07
14,0.920411625199714,0.045331997236823164,0.06958837480028607,5.434476245987123e-07
15,0.9100394912308143,0.050377481118369524,0.0799605087691857,5.695380776290921e-07
16,0.898649995705847,0.05584746657194227,0.09135000429415292,6.006838045695364e-07
17,0.8861903541181038,0.06174485785467912,0.10380964588189626,6.381576152765768e-07
18,0.87261597645822,0.06806402346716421,0.11738402354178003,6.836642205846837e-07
19,0.8578931649130459,0.07478910143239166,0.13210683508695406,7.39535209822103e-07
20,0.8420019362179855,0.08189237905623127,0.14799806378201455,8.090384039772358e-07
21,0.8249388278998877,0.0893328791805054,0.16506117210011226,8.968875194813472e-07
22,0.8067195093701082,0.09705530770553948,0.18328049062989182,1.010120207086917e-06
23,0.7873809883731075,0.10498952942653399,0.2026190116268924,1.1596942604571706e-06
24,0.7669831876353467,0.11305073526049143,0.22301681236465334,1.3635864760397119e-06
25,0.7456096726108419,0.12114043872679955,0.2443903273891581,1.65331951310149e-06
26,0.7233673443493178,0.12914839021566366,0.26663265565068217,2.089176805708425e-06
27,0.700384973840246,0.1369554248481817,0.28961502615975404,2.800179994857353e-06
28,0.6768105431839998,0.14443716887692384,0.3131894568160002,4.09799581014301e-06
29,0.6528074669439351,0.15146843039203808,0.33719253305606484,7.32108602090498e-06
30,0.6285498945212792,0.15792799308298,0.36145010547872086,0.4999939348077018
31,0.6162632172189816,0.15165764202942883,0.3737367827810184,0.49999612538422883
32,0.6046905386416286,0.14541007792160734,0.38530946135837146,0.49999703735302475
33,0.5937987476889053,0.13921573432312648,0.39620125231109476,0.4999975320914904
34,0.5835548217814385,0.13310138023866586,0.4064451782185615,0.4999978367864307
35,0.5739261079019098,0.12709026966988574,0.4160738920980902,0.49999803799058185
36,0.5648805597397536,0.12120231749447137,0.42511944026024645,0.49999817592371454
37,0.5563869275918837,0.11545430192281554,0.43361307240811625,0.4999982718310015
38,0.5484149056272846,0.10986008580155063,0.4415850943727155,0.4999983379466493
