"timestep","S","I","C","v"
1,0.99,0.01,-3.98364801289664e-39,4.0974136788626e-07
2,0.987528092185063,0.0112968768407826,0.00247190781493665,4.13545244177071e-07
3,0.984743032189411,0.0127545188165226,0.00525696781058893,4.17896581414718e-07
4,0.981608053415557,0.0143908021233923,0.00839194658444314,4.22880655877157e-07
5,0.978082868174175,0.0162250235409835,0.0119171318258251,4.28597883553793e-07
6,0.974123550911435,0.0182778502820198,0.0158764490885648,4.3516709765005e-07
7,0.969682486106247,0.0205712110649759,0.0203175138937533,4.42729671410854e-07
8,0.964708403861502,0.0231281122920002,0.0252915961384983,4.5145477922021e-07
9,0.959146530249028,0.0259723610727926,0.030853469750972,4.61546182305679e-07
10,0.952938883328336,0.0291281751202406,0.0370611166716644,4.73251077950809e-07
11,0.94602474900039,0.0326196586494997,0.0439752509996101,4.86871777291044e-07
12,0.938341372863304,0.0364701238586364,0.0516586271366962,5.02781315284165e-07
13,0.929824904203362,0.0407012400020646,0.0601750957966376,5.21444612092779e-07
14,0.920411625199712,0.0453319972368245,0.0695883748002879,5.43447606612861e-07
15,0.910039491230812,0.0503774811183713,0.0799605087691881,5.69538057062635e-07
16,0.898649995705844,0.0558474665719444,0.0913500042941559,6.00683780657712e-07
17,0.8861903541181,0.0617448578546817,0.1038096458819,6.38157586946178e-07
18,0.872615976458215,0.0680640234671675,0.117384023541785,6.83664186292166e-07
19,0.85789316491304,0.0747891014323957,0.13210683508696,7.39535167285201e-07
20,0.842001936217978,0.0818923790562362,0.147998063782022,8.09038349714457e-07
21,0.824938827899879,0.0893328791805115,0.165061172100121,8.96887447991587e-07
22,0.806719509370097,0.0970553077055472,0.183280490629903,1.01012010932841e-06
23,0.787380988373093,0.104989529426544,0.202619011626907,1.15969412091642e-06
24,0.766983187635328,0.113050735260505,0.223016812364672,1.36358626694046e-06
25,0.745609672610817,0.121140438726817,0.244390327389183,1.65331918340282e-06
26,0.723367344349283,0.129148390215689,0.266632655650717,2.08917626823518e-06
27,0.700384973840196,0.13695542484822,0.289615026159804,2.800179219835e-06
28,0.676810543183927,0.14443716887698,0.313189456816073,4.09799685816387e-06
29,0.65280746694388,0.15146843039207,0.33719253305612,7.32109168223728e-06
30,0.628549894521356,0.157927993082876,0.361450105478644,0.499993934823953
31,0.61626321721946,0.151657642028935,0.373736782780539,0.49999612538906
32,0.604690538642247,0.145410077921033,0.385309461357753,0.499997037355156
33,0.593798747689601,0.139215734322542,0.396201252310399,0.49999753209266
34,0.583554821782188,0.133101380238095,0.406445178217812,0.499997836787169
35,0.573926107902702,0.12709026966934,0.416073892097298,0.499998037991094
36,0.564880559740581,0.121202317493954,0.425119440259419,0.499998175924095
37,0.556386927592742,0.115454301922329,0.433613072407258,0.4999982718313
38,0.548414905628168,0.109860085801096,0.441585094371832,0.499998337946893
39,0.540935242016159,0.104430849049154,0.449064757983841,0.499998381759844
40,0.533919817278924,0.0991753255573926,0.456080182721076,0.499998408053956
41,0.527341695826758,0.0941000390693838,0.462658304173242,0.499998419967447
42,0.521175155148524,0.0892095336900543,0.468824844851476,0.499998419579514
43,0.515395696624673,0.0845065956863402,0.474604303375327,0.499998408251085
44,0.509980041434682,0.0799924641311557,0.480019958565318,0.499998386829529
45,0.504906114562409,0.0756670286981269,0.485093885437591,0.499998355773689
46,0.500153019470743,0.0715290135455429,0.489846980529257,0.499998315229504
47,0.49570100562567,0.0675761467439455,0.49429899437433,0.499998265073011
48,0.491531430701064,0.0638053151147399,0.498468569298936,0.499998204930011
49,0.487626718988318,0.0602127046699383,0.502373281011682,0.499998134177268
50,0.483970317267496,0.0567939270882839,0.506029682732504,0.499998051927185
51,0.480546649165972,0.0535441328425497,0.509453350834028,0.499997956995679
52,0.47734106883329,0.0504581117178103,0.51265893116671,0.499997847850892
53,0.474339814593659,0.0475303815408663,0.515660185406341,0.499997722538037
54,0.471529963096654,0.0447552659854836,0.518470036903346,0.499997578572576
55,0.46889938436894,0.0421269623342531,0.52110061563106,0.499997412789412
56,0.466436698072107,0.0396396000721088,0.523563301927893,0.499997221128808
57,0.464131231191159,0.0372872911642765,0.525868768808841,0.499996998328501
58,0.461972977312261,0.0350641728371415,0.528027022687739,0.499996737472553
59,0.459952557594834,0.0329644436378952,0.530047442405166,0.499996429314743
60,0.458061183499882,0.0309823935008193,0.531938816500118,0.499996061234994
61,0.456290621301933,0.0291124284970788,0.533709378698067,0.49999561557565
62,0.454633158384492,0.0273490908928291,0.535366841615508,0.499995066882781
63,0.453081571297035,0.0256870750888832,0.536918428702965,0.499994377111113
64,0.451629095533867,0.0241212399655653,0.538370904466133,0.499993486798155
65,0.450269396979576,0.0226466181104022,0.539730603020424,0.499992297612151
66,0.448996544948991,0.0212584223670307,0.541003455051009,0.499990634617205
67,0.447804986723054,0.0199520501186764,0.542195013276946,0.49998815514052
68,0.446689523420794,0.0187230857322047,0.543310476579206,0.499984089790021
69,0.445645286848314,0.017567301737977,0.544354713151686,0.499975877798172
70,0.444667715259257,0.0164806609595907,0.545332284740743,7.49826402297228e-06
71,0.442839393585003,0.0163724539236395,0.547160606414997,6.52024906962897e-06
72,0.441030517979619,0.0162575154807052,0.548969482020381,5.73298340930615e-06
73,0.439241650896173,0.0161360741388891,0.550758349103827,5.08978165210217e-06
74,0.437473320073398,0.0160083662702195,0.552526679926602,4.5565841785592e-06
75,0.435726018512453,0.0158746352098534,0.554273981487546,4.10894248780308e-06
76,0.434000204553464,0.0157351303613458,0.555999795446536,3.72926851507316e-06
77,0.4322963020472,0.015590106311916,0.5577036979528,3.4042433071062e-06
78,0.430614700616868,0.0154398219615629,0.559385299383132,3.12367567671182e-06
79,0.428955756006929,0.0152845396674756,0.561044243993071,2.8796837110302e-06
80,0.427319790513939,0.0151245244069682,0.562680209486061,2.66608243047203e-06
